Train: [1][0/12], lr: 0.03000	Time 10.779 (10.779)	Data 3.939 (3.939)	Prec@1 15.625 (15.625)	Prec@5 42.969 (42.969)	Loss 3.8838 (3.8838)   loss_c 2.4848	beta 0.750, 0.750, 0.500  loss_a 1.3863	gamma 0.003000  loss_e 4.2073	
Train: [15][0/12], lr: 0.00785	Time 4.350 (4.350)	Data 4.298 (4.298)	Prec@1 98.438 (98.438)	Prec@5 100.000 (100.000)	Loss 1.3229 (1.3229)   loss_c 0.0722	beta 0.750, 0.750, 0.500  loss_a 1.2491	gamma 0.003000  loss_e 0.5481	
Train: [16][0/12], lr: 0.00754	Time 4.288 (4.288)	Data 4.223 (4.223)	Prec@1 99.219 (99.219)	Prec@5 100.000 (100.000)	Loss 1.3195 (1.3195)   loss_c 0.0798	beta 0.750, 0.750, 0.500  loss_a 1.2380	gamma 0.003000  loss_e 0.5606	
Train: [17][0/12], lr: 0.00725	Time 4.193 (4.193)	Data 4.115 (4.115)	Prec@1 98.438 (98.438)	Prec@5 100.000 (100.000)	Loss 1.2917 (1.2917)   loss_c 0.0695	beta 0.750, 0.750, 0.500  loss_a 1.2204	gamma 0.003000  loss_e 0.5882	
Train: [18][0/12], lr: 0.00699	Time 4.446 (4.446)	Data 4.382 (4.382)	Prec@1 99.219 (99.219)	Prec@5 100.000 (100.000)	Loss 1.3502 (1.3502)   loss_c 0.0734	beta 0.750, 0.750, 0.500  loss_a 1.2750	gamma 0.003000  loss_e 0.5774	
Train: [19][0/12], lr: 0.00675	Time 4.246 (4.246)	Data 4.195 (4.195)	Prec@1 99.219 (99.219)	Prec@5 100.000 (100.000)	Loss 1.2858 (1.2858)   loss_c 0.0670	beta 0.750, 0.750, 0.500  loss_a 1.2170	gamma 0.003000  loss_e 0.6089	
Train: [20][0/12], lr: 0.00653	Time 4.396 (4.396)	Data 4.321 (4.321)	Prec@1 99.219 (99.219)	Prec@5 100.000 (100.000)	Loss 1.3283 (1.3283)   loss_c 0.0517	beta 0.750, 0.750, 0.500  loss_a 1.2751	gamma 0.003000  loss_e 0.4675	
Train: [21][0/12], lr: 0.00632	Time 4.431 (4.431)	Data 4.361 (4.361)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 1.3347 (1.3347)   loss_c 0.0500	beta 0.750, 0.750, 0.500  loss_a 1.2832	gamma 0.003000  loss_e 0.4891	
Train: [22][0/12], lr: 0.00613	Time 4.469 (4.469)	Data 4.387 (4.387)	Prec@1 99.219 (99.219)	Prec@5 100.000 (100.000)	Loss 1.3013 (1.3013)   loss_c 0.0629	beta 0.750, 0.750, 0.500  loss_a 1.2366	gamma 0.003000  loss_e 0.5853	
Train: [23][0/12], lr: 0.00595	Time 4.562 (4.562)	Data 4.499 (4.499)	Prec@1 99.219 (99.219)	Prec@5 100.000 (100.000)	Loss 1.2616 (1.2616)   loss_c 0.0382	beta 0.750, 0.750, 0.500  loss_a 1.2218	gamma 0.003000  loss_e 0.5332	
Train: [24][0/12], lr: 0.00579	Time 4.536 (4.536)	Data 4.471 (4.471)	Prec@1 98.438 (98.438)	Prec@5 100.000 (100.000)	Loss 1.2593 (1.2593)   loss_c 0.0568	beta 0.750, 0.750, 0.500  loss_a 1.2013	gamma 0.003000  loss_e 0.4122	
Train: [25][0/12], lr: 0.00563	Time 4.494 (4.494)	Data 4.444 (4.444)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 1.2567 (1.2567)   loss_c 0.0329	beta 0.750, 0.750, 0.500  loss_a 1.2226	gamma 0.003000  loss_e 0.4010	
Train: [26][0/12], lr: 0.00548	Time 4.202 (4.202)	Data 4.113 (4.113)	Prec@1 99.219 (99.219)	Prec@5 100.000 (100.000)	Loss 1.3078 (1.3078)   loss_c 0.0671	beta 0.750, 0.750, 0.500  loss_a 1.2392	gamma 0.003000  loss_e 0.4863	
Train: [27][0/12], lr: 0.00535	Time 4.513 (4.513)	Data 4.439 (4.439)	Prec@1 99.219 (99.219)	Prec@5 100.000 (100.000)	Loss 1.2846 (1.2846)   loss_c 0.0627	beta 0.750, 0.750, 0.500  loss_a 1.2206	gamma 0.003000  loss_e 0.4512	
Train: [28][0/12], lr: 0.00522	Time 4.358 (4.358)	Data 4.307 (4.307)	Prec@1 98.438 (98.438)	Prec@5 100.000 (100.000)	Loss 1.2659 (1.2659)   loss_c 0.0609	beta 0.750, 0.750, 0.500  loss_a 1.2037	gamma 0.003000  loss_e 0.4207	
Train: [29][0/12], lr: 0.00509	Time 4.356 (4.356)	Data 4.285 (4.285)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 1.2893 (1.2893)   loss_c 0.0343	beta 0.750, 0.750, 0.500  loss_a 1.2537	gamma 0.003000  loss_e 0.4547	
Train: [30][0/12], lr: 0.00498	Time 4.348 (4.348)	Data 4.289 (4.289)	Prec@1 99.219 (99.219)	Prec@5 100.000 (100.000)	Loss 1.3127 (1.3127)   loss_c 0.0518	beta 0.750, 0.750, 0.500  loss_a 1.2598	gamma 0.003000  loss_e 0.3961	
total time: 471.499 
